Timestamp	Timestamp	Depth
2019-03-10 16:06:00	10/03/2019 16:06:00	0.9
2019-03-10 16:07:00	10/03/2019 16:07:00	0.872
2019-03-10 16:08:00	10/03/2019 16:08:00	0.8809999999999999
2019-03-10 16:09:00	10/03/2019 16:09:00	0.897
2019-03-10 16:10:00	10/03/2019 16:10:00	0.929
2019-03-10 16:11:00	10/03/2019 16:11:00	0.875
2019-03-10 16:12:00	10/03/2019 16:12:00	0.899
2019-03-10 16:13:00	10/03/2019 16:13:00	0.924
2019-03-10 16:14:00	10/03/2019 16:14:00	0.8690000000000001
2019-03-10 16:15:00	10/03/2019 16:15:00	0.9
2019-03-10 16:16:00	10/03/2019 16:16:00	0.8909999999999999
2019-03-10 16:17:00	10/03/2019 16:17:00	0.892
2019-03-10 16:18:00	10/03/2019 16:18:00	0.919
2019-03-10 16:19:00	10/03/2019 16:19:00	0.865
2019-03-10 16:20:00	10/03/2019 16:20:00	0.917
2019-03-10 16:21:00	10/03/2019 16:21:00	0.873
2019-03-10 16:22:00	10/03/2019 16:22:00	0.898
2019-03-10 16:23:00	10/03/2019 16:23:00	0.927
2019-03-10 16:24:00	10/03/2019 16:24:00	0.9259999999999999
2019-03-10 16:25:00	10/03/2019 16:25:00	0.932
2019-03-10 16:26:00	10/03/2019 16:26:00	0.938
2019-03-10 16:27:00	10/03/2019 16:27:00	0.948
2019-03-10 16:28:00	10/03/2019 16:28:00	0.919
2019-03-10 16:29:00	10/03/2019 16:29:00	0.94
2019-03-10 16:30:00	10/03/2019 16:30:00	0.9279999999999999
2019-03-10 16:31:00	10/03/2019 16:31:00	0.97
2019-03-10 16:32:00	10/03/2019 16:32:00	0.925
2019-03-10 16:33:00	10/03/2019 16:33:00	0.9620000000000001
2019-03-10 16:34:00	10/03/2019 16:34:00	0.904
2019-03-10 16:35:00	10/03/2019 16:35:00	0.963
2019-03-10 16:36:00	10/03/2019 16:36:00	0.992
2019-03-10 16:37:00	10/03/2019 16:37:00	0.872
2019-03-10 16:38:00	10/03/2019 16:38:00	0.966
2019-03-10 16:39:00	10/03/2019 16:39:00	0.976
2019-03-10 16:40:00	10/03/2019 16:40:00	0.975
2019-03-10 16:41:00	10/03/2019 16:41:00	0.955
2019-03-10 16:42:00	10/03/2019 16:42:00	0.961
2019-03-10 16:43:00	10/03/2019 16:43:00	0.9990000000000001
2019-03-10 16:44:00	10/03/2019 16:44:00	1.0090000000000001
2019-03-10 16:45:00	10/03/2019 16:45:00	0.9129999999999999
2019-03-10 16:46:00	10/03/2019 16:46:00	1.012
2019-03-10 16:47:00	10/03/2019 16:47:00	0.922
2019-03-10 16:48:00	10/03/2019 16:48:00	1.006
2019-03-10 16:49:00	10/03/2019 16:49:00	0.966
2019-03-10 16:50:00	10/03/2019 16:50:00	0.987
2019-03-10 16:51:00	10/03/2019 16:51:00	0.99
2019-03-10 16:52:00	10/03/2019 16:52:00	0.972
2019-03-10 16:53:00	10/03/2019 16:53:00	1.022
2019-03-10 16:54:00	10/03/2019 16:54:00	0.983
2019-03-10 16:55:00	10/03/2019 16:55:00	0.988
2019-03-10 16:56:00	10/03/2019 16:56:00	0.983
2019-03-10 16:57:00	10/03/2019 16:57:00	0.9790000000000001
2019-03-10 16:58:00	10/03/2019 16:58:00	0.961
2019-03-10 16:59:00	10/03/2019 16:59:00	0.991
2019-03-10 17:00:00	10/03/2019 17:00:00	0.97
2019-03-10 17:01:00	10/03/2019 17:01:00	1.0
2019-03-10 17:02:00	10/03/2019 17:02:00	0.99
2019-03-10 17:03:00	10/03/2019 17:03:00	1.018
2019-03-10 17:04:00	10/03/2019 17:04:00	0.9790000000000001
2019-03-10 17:05:00	10/03/2019 17:05:00	1.052
2019-03-10 17:06:00	10/03/2019 17:06:00	1.047
2019-03-10 17:07:00	10/03/2019 17:07:00	1.023
2019-03-10 17:08:00	10/03/2019 17:08:00	1.0270000000000001
2019-03-10 17:09:00	10/03/2019 17:09:00	1.045
2019-03-10 17:10:00	10/03/2019 17:10:00	1.033
2019-03-10 17:11:00	10/03/2019 17:11:00	0.98
2019-03-10 17:12:00	10/03/2019 17:12:00	1.065
2019-03-10 17:13:00	10/03/2019 17:13:00	1.021
2019-03-10 17:14:00	10/03/2019 17:14:00	1.036
2019-03-10 17:15:00	10/03/2019 17:15:00	1.031
2019-03-10 17:16:00	10/03/2019 17:16:00	1.034
2019-03-10 17:17:00	10/03/2019 17:17:00	1.038
2019-03-10 17:18:00	10/03/2019 17:18:00	1.012
2019-03-10 17:19:00	10/03/2019 17:19:00	1.0590000000000002
2019-03-10 17:20:00	10/03/2019 17:20:00	0.9940000000000001
2019-03-10 17:21:00	10/03/2019 17:21:00	1.1159999999999999
2019-03-10 17:22:00	10/03/2019 17:22:00	1.06
2019-03-10 17:23:00	10/03/2019 17:23:00	1.06
2019-03-10 17:24:00	10/03/2019 17:24:00	1.0590000000000002
2019-03-10 17:25:00	10/03/2019 17:25:00	1.024
2019-03-10 17:26:00	10/03/2019 17:26:00	0.996
2019-03-10 17:27:00	10/03/2019 17:27:00	1.055
2019-03-10 17:28:00	10/03/2019 17:28:00	1.034
2019-03-10 17:29:00	10/03/2019 17:29:00	1.092
2019-03-10 17:30:00	10/03/2019 17:30:00	1.075
2019-03-10 17:31:00	10/03/2019 17:31:00	1.011
2019-03-10 17:32:00	10/03/2019 17:32:00	1.074
2019-03-10 17:33:00	10/03/2019 17:33:00	1.088
2019-03-10 17:34:00	10/03/2019 17:34:00	1.04
2019-03-10 17:35:00	10/03/2019 17:35:00	1.091
2019-03-10 17:36:00	10/03/2019 17:36:00	1.068
2019-03-10 17:37:00	10/03/2019 17:37:00	1.045
2019-03-10 17:38:00	10/03/2019 17:38:00	1.075
2019-03-10 17:39:00	10/03/2019 17:39:00	1.107
2019-03-10 17:40:00	10/03/2019 17:40:00	1.13
2019-03-10 17:41:00	10/03/2019 17:41:00	1.113
2019-03-10 17:42:00	10/03/2019 17:42:00	1.084
2019-03-10 17:43:00	10/03/2019 17:43:00	1.12
2019-03-10 17:44:00	10/03/2019 17:44:00	1.12
2019-03-10 17:45:00	10/03/2019 17:45:00	1.095
2019-03-10 17:46:00	10/03/2019 17:46:00	1.1159999999999999
2019-03-10 17:47:00	10/03/2019 17:47:00	1.16
2019-03-10 17:48:00	10/03/2019 17:48:00	1.068
2019-03-10 17:49:00	10/03/2019 17:49:00	1.112
2019-03-10 17:50:00	10/03/2019 17:50:00	1.093
2019-03-10 17:51:00	10/03/2019 17:51:00	1.1
2019-03-10 17:52:00	10/03/2019 17:52:00	1.117
2019-03-10 17:53:00	10/03/2019 17:53:00	1.12
2019-03-10 17:54:00	10/03/2019 17:54:00	1.044
2019-03-10 17:55:00	10/03/2019 17:55:00	1.167
2019-03-10 17:56:00	10/03/2019 17:56:00	1.129
2019-03-10 17:57:00	10/03/2019 17:57:00	1.168
2019-03-10 17:58:00	10/03/2019 17:58:00	1.137
2019-03-10 17:59:00	10/03/2019 17:59:00	1.099
2019-03-10 18:00:00	10/03/2019 18:00:00	1.209
2019-03-10 18:01:00	10/03/2019 18:01:00	1.131
2019-03-10 18:02:00	10/03/2019 18:02:00	1.146
2019-03-10 18:03:00	10/03/2019 18:03:00	1.08
2019-03-10 18:04:00	10/03/2019 18:04:00	1.22
2019-03-10 18:05:00	10/03/2019 18:05:00	1.1320000000000001
2019-03-10 18:06:00	10/03/2019 18:06:00	1.114
2019-03-10 18:07:00	10/03/2019 18:07:00	1.097
2019-03-10 18:08:00	10/03/2019 18:08:00	1.115
2019-03-10 18:09:00	10/03/2019 18:09:00	1.168
2019-03-10 18:10:00	10/03/2019 18:10:00	1.18
2019-03-10 18:11:00	10/03/2019 18:11:00	1.123
2019-03-10 18:12:00	10/03/2019 18:12:00	1.195
2019-03-10 18:13:00	10/03/2019 18:13:00	1.158
2019-03-10 18:14:00	10/03/2019 18:14:00	1.1079999999999999
2019-03-10 18:15:00	10/03/2019 18:15:00	1.145
2019-03-10 18:16:00	10/03/2019 18:16:00	1.217
2019-03-10 18:17:00	10/03/2019 18:17:00	1.153
2019-03-10 18:18:00	10/03/2019 18:18:00	1.136
2019-03-10 18:19:00	10/03/2019 18:19:00	1.192
2019-03-10 18:20:00	10/03/2019 18:20:00	1.24
2019-03-10 18:21:00	10/03/2019 18:21:00	1.208
2019-03-10 18:22:00	10/03/2019 18:22:00	1.214
2019-03-10 18:23:00	10/03/2019 18:23:00	1.236
2019-03-10 18:24:00	10/03/2019 18:24:00	1.199
2019-03-10 18:25:00	10/03/2019 18:25:00	1.1540000000000001
2019-03-10 18:26:00	10/03/2019 18:26:00	1.188
2019-03-10 18:27:00	10/03/2019 18:27:00	1.169
2019-03-10 18:28:00	10/03/2019 18:28:00	1.2009999999999998
2019-03-10 18:29:00	10/03/2019 18:29:00	1.187
2019-03-10 18:30:00	10/03/2019 18:30:00	1.2109999999999999
2019-03-10 18:31:00	10/03/2019 18:31:00	1.2309999999999999
2019-03-10 18:32:00	10/03/2019 18:32:00	1.22
2019-03-10 18:33:00	10/03/2019 18:33:00	1.235
2019-03-10 18:34:00	10/03/2019 18:34:00	1.237
2019-03-10 18:35:00	10/03/2019 18:35:00	1.182
2019-03-10 18:36:00	10/03/2019 18:36:00	1.2309999999999999
2019-03-10 18:37:00	10/03/2019 18:37:00	1.234
2019-03-10 18:38:00	10/03/2019 18:38:00	1.216
2019-03-10 18:39:00	10/03/2019 18:39:00	1.2
2019-03-10 18:40:00	10/03/2019 18:40:00	1.2229999999999999
2019-03-10 18:41:00	10/03/2019 18:41:00	1.235
2019-03-10 18:42:00	10/03/2019 18:42:00	1.224
2019-03-10 18:43:00	10/03/2019 18:43:00	1.235
2019-03-10 18:44:00	10/03/2019 18:44:00	1.229
2019-03-10 18:45:00	10/03/2019 18:45:00	1.181
2019-03-10 18:46:00	10/03/2019 18:46:00	1.274
2019-03-10 18:47:00	10/03/2019 18:47:00	1.2309999999999999
2019-03-10 18:48:00	10/03/2019 18:48:00	1.1909999999999998
2019-03-10 18:49:00	10/03/2019 18:49:00	1.251
2019-03-10 18:50:00	10/03/2019 18:50:00	1.271
2019-03-10 18:51:00	10/03/2019 18:51:00	1.2770000000000001
2019-03-10 18:52:00	10/03/2019 18:52:00	1.285
2019-03-10 18:53:00	10/03/2019 18:53:00	1.202
2019-03-10 18:54:00	10/03/2019 18:54:00	1.2830000000000001
2019-03-10 18:55:00	10/03/2019 18:55:00	1.263
2019-03-10 18:56:00	10/03/2019 18:56:00	1.225
2019-03-10 18:57:00	10/03/2019 18:57:00	1.229
2019-03-10 18:58:00	10/03/2019 18:58:00	1.273
2019-03-10 18:59:00	10/03/2019 18:59:00	1.194
2019-03-10 19:00:00	10/03/2019 19:00:00	1.262
2019-03-10 19:01:00	10/03/2019 19:01:00	1.298
2019-03-10 19:02:00	10/03/2019 19:02:00	1.2309999999999999
2019-03-10 19:03:00	10/03/2019 19:03:00	1.315
2019-03-10 19:04:00	10/03/2019 19:04:00	1.213
2019-03-10 19:05:00	10/03/2019 19:05:00	1.244
2019-03-10 19:06:00	10/03/2019 19:06:00	1.28
2019-03-10 19:07:00	10/03/2019 19:07:00	1.2670000000000001
2019-03-10 19:08:00	10/03/2019 19:08:00	1.29
2019-03-10 19:09:00	10/03/2019 19:09:00	1.357
2019-03-10 19:10:00	10/03/2019 19:10:00	1.238
2019-03-10 19:11:00	10/03/2019 19:11:00	1.242
2019-03-10 19:12:00	10/03/2019 19:12:00	1.2930000000000001
2019-03-10 19:13:00	10/03/2019 19:13:00	1.251
2019-03-10 19:14:00	10/03/2019 19:14:00	1.255
2019-03-10 19:15:00	10/03/2019 19:15:00	1.266
2019-03-10 19:16:00	10/03/2019 19:16:00	1.3459999999999999
2019-03-10 19:17:00	10/03/2019 19:17:00	1.265
2019-03-10 19:18:00	10/03/2019 19:18:00	1.291
2019-03-10 19:19:00	10/03/2019 19:19:00	1.28
2019-03-10 19:20:00	10/03/2019 19:20:00	1.2919999999999998
2019-03-10 19:21:00	10/03/2019 19:21:00	1.275
2019-03-10 19:22:00	10/03/2019 19:22:00	1.253
2019-03-10 19:23:00	10/03/2019 19:23:00	1.311
2019-03-10 19:24:00	10/03/2019 19:24:00	1.2830000000000001
2019-03-10 19:25:00	10/03/2019 19:25:00	1.3130000000000002
2019-03-10 19:26:00	10/03/2019 19:26:00	1.244
2019-03-10 19:27:00	10/03/2019 19:27:00	1.304
2019-03-10 19:28:00	10/03/2019 19:28:00	1.311
2019-03-10 19:29:00	10/03/2019 19:29:00	1.3969999999999998
